map_id,ott_id,species_name,ref_id,map_length_cM,genome_size_mb,genome_size_method,map_sex,n_markers,n_linkage_groups,haploid_chromosome_number,passes_2017_criteria,in_published_353,recombination_rate_cM_per_Mb,map_length_per_chromosome_cM,marker_interval_cM,fm_map_length_ratio
RM0033,ott721060,Apostichopus japonicus,tian2015,3706.6,664.37,estimate_unspecified,sex_averaged,7839.0,22.0,22.0,True,True,5.57912,168.482,0.4728,2.044
RM0034,ott152273,Arabidopsis halleri,willems2007,567.0,234.72,estimate_unspecified,sex_averaged,85.0,8.0,8.0,True,True,2.415644,70.875,6.6706,
RM0035,ott309263,Arabidopsis thaliana,singer2006,422.5,123.5,c_value,sex_averaged,666.0,5.0,5.0,True,False,3.421053,84.5,0.6344,
RM0036,ott309263,Arabidopsis thaliana,singer2006,422.5,123.5,c_value,sex_averaged,666.0,5.0,5.0,True,True,3.421053,84.5,0.6344,
RM0037,ott607569,Arachis duranensis,nagy2010,1081.3,1242.06,estimate_unspecified,sex_averaged,1724.0,10.0,10.0,True,True,0.87057,108.13,0.6272,
RM0038,ott39541,Arachis hypogaea,zhou2014,1446.7,2806.86,estimate_unspecified,sex_averaged,1685.0,20.0,20.0,True,True,0.515416,72.335,0.8586,
RM0039,ott887220,Argopecten irradians,li2012,849.3,1173.6,c_value,sex_averaged,161.0,16.0,16.0,True,True,0.723671,53.081,5.2752,0.9969
RM0040,ott429101,Aristichthys nobilis,zhu2014,1917.3,865.53,c_value,sex_averaged,659.0,24.0,24.0,True,True,2.215175,79.888,2.9094,1.1201
RM0041,ott59094,Artemia franciscana,devos2013,1177.0,948.66,c_value,sex_averaged,433.0,21.0,21.0,True,True,1.240697,56.048,2.7182,1.2613
RM0042,ott5712886,Ascochyta rabiei,phan2003,1271.0,34.6583,estimate_unspecified,sex_averaged,126.0,18.0,14.0,True,True,36.672312,90.786,10.0873,
RM0043,ott117339,Aspergillus nidulans,christians2011,3624.7,30.2427,estimate_unspecified,sex_averaged,739.0,8.0,8.0,True,True,119.853717,453.088,4.9049,
RM0044,ott710025,Astatotilapia burtoni,sanetra2009,1249.3,948.66,c_value,sex_averaged,204.0,25.0,20.0,True,True,1.31691,62.465,6.124,
RM0045,ott701518,Astyanax mexicanus,carlson2015,2110.7,1191.24,estimate_unspecified,sex_averaged,2235.0,25.0,25.0,True,True,1.771851,84.428,0.9444,
RM0046,ott106278,Athalia rosae,nishimori2000,517.2,163.838,estimate_unspecified,sex_averaged,61.0,16.0,8.0,False,False,3.156777,64.65,8.4787,
RM0047,ott790381,Avena sativa,chaffin2016,2843.0,12938.94,c_value,sex_averaged,7202.0,21.0,21.0,True,True,0.219724,135.381,0.3948,
RM0048,ott227727,Bactrocera cucurbitae,sim2017,646.0,373.0,estimate_unspecified,sex_averaged,944.0,5.0,5.0,True,True,1.731903,129.2,0.6843,
RM0049,ott35910,Barbarea vulgaris,kuzina2011,889.0,167.352,assembly_or_direct,sex_averaged,131.0,8.0,8.0,True,True,5.312156,111.125,6.7863,
RM0050,ott434483,Begonia plebeja,brennan2012,1099.0,616.14,estimate_unspecified,sex_averaged,225.0,14.0,14.0,True,True,1.783686,78.5,4.8844,
RM0051,ott273185,Beta vulgaris,laurent2007,555.0,1222.5,estimate_unspecified,sex_averaged,284.0,9.0,9.0,True,True,0.453988,61.667,1.9542,
RM0052,ott267719,Betula pendula,jiang2010,2489.7,1369.2,c_value,sex_averaged,226.0,23.0,14.0,True,True,1.818361,177.836,11.0164,
RM0054,ott559934,Bicyclus anynana,beldade2009,1642.2,479.22,c_value,sex_averaged,297.0,27.0,28.0,True,True,3.426819,58.65,5.5293,
RM0055,ott907693,Bison bison,schnabel2003,2647.0,4792.2,c_value,sex_averaged,292.0,29.0,30.0,True,True,0.552356,88.233,9.0651,
RM0056,ott968114,Biston betularia,vanthof2012,1638.0,500.0,assembly_or_direct,sex_averaged,227.0,31.0,31.0,True,True,3.276,52.839,7.2159,
RM0057,ott555363,Blumeria graminis,pedersen2002,2114.0,118.726,estimate_unspecified,sex_averaged,359.0,34.0,,,False,17.805704,,5.8886,
RM0058,ott594991,Boehmeria nivea,liu2014,2265.1,716.0,assembly_or_direct,sex_averaged,142.0,18.0,14.0,True,True,3.163547,161.793,15.9514,
RM0059,ott161197,Bombus terrestris,stolle2011,2047.0,518.34,c_value,sex_averaged,516.0,18.0,18.0,True,True,3.949145,113.722,3.9671,
RM0060,ott440274,Bombyx mori,zhan2009a,685.25,513.45,c_value,sex_averaged,1604.0,,28.0,,False,1.334599,24.473,0.4272,
RM0061,ott440274,Bombyx mori,zhan2009a,3320.0,513.45,c_value,sex_averaged,692.0,27.0,28.0,True,True,6.466063,118.571,4.7977,
RM0062,ott490099,Bos taurus,ihara2004,3097.366,3537.1,c_value,sex_averaged,5499.0,,31.0,,False,0.87568,99.915,0.5633,
RM0063,ott490099,Bos taurus,ihara2004,3159.1,3537.1,estimate_unspecified,sex_averaged,3960.0,29.0,31.0,True,True,0.893133,101.906,0.7978,
RM0064,ott413237,Brachypodium distachyon,huo2011,1598.0,352.08,estimate_unspecified,sex_averaged,556.0,,5.0,,False,4.538741,319.6,2.8741,
RM0065,ott41113,Bracon hebetor,holloway2000,536.1,165.0,estimate_unspecified,sex_averaged,71.0,10.0,10.0,True,True,3.249091,53.61,7.5507,
RM0066,ott240937,Brassica campestris,cheng2009,973.3,567.24,estimate_unspecified,sex_averaged,268.0,10.0,10.0,True,True,1.715852,97.33,3.6317,
RM0067,ott749459,Brassica carinata,zou2014,2048.0,1545.24,estimate_unspecified,sex_averaged,1366.0,17.0,17.0,True,True,1.32536,120.471,1.4993,
RM0068,ott309279,Brassica juncea,zou2016,1579.0,1496.34,estimate_unspecified,sex_averaged,3329.0,18.0,18.0,True,True,1.055241,87.722,0.4743,
RM0069,ott309234,Brassica napus,zhang2016a,1917.9,1124.7,estimate_unspecified,sex_averaged,1826.0,19.0,19.0,True,True,1.705255,100.942,1.0503,
RM0070,ott833642,Brassica oleracea,zhao2016a,890.01,762.8,c_value,sex_averaged,2741.0,8.0,9.0,True,True,1.166767,98.89,0.3247,
RM0071,ott833632,Brassica rapa,yu2016,858.98,782.4,estimate_unspecified,sex_averaged,3688.0,10.0,10.0,True,True,1.097878,85.898,0.2329,
RM0072,ott395053,Caenorhabditis briggsae,ross2011,484.4527,108.384,estimate_unspecified,sex_averaged,,,6.0,,False,4.469781,80.742,,
RM0073,ott395048,Caenorhabditis elegans,yook2011,233.287,100.286,estimate_unspecified,sex_averaged,5220.0,,6.0,,False,2.326217,38.881,0.0447,
RM0074,ott612448,Cajanus cajan,bohra2012,1059.0,860.64,estimate_unspecified,sex_averaged,339.0,11.0,11.0,True,True,1.23048,96.273,3.1239,
RM0076,ott776348,Camelina sativa,gehringer2006,1385.6,641.356,estimate_unspecified,sex_averaged,160.0,20.0,20.0,True,True,2.160423,69.28,8.66,
RM0077,ott1058509,Camellia sinensis,taniguchi2012,1218.0,3814.2,c_value,sex_averaged,1124.0,15.0,15.0,True,True,0.319333,81.2,1.0836,
RM0078,ott247341,Canis lupus,wong2010,2084.8,2748.18,c_value,sex_averaged,3065.0,,39.0,,False,0.758611,53.456,0.6802,
RM0079,ott247341,Canis lupus,wong2010,2085.1,2748.18,c_value,sex_averaged,3549.0,39.0,39.0,True,True,0.75872,53.464,0.5875,1.2501
RM0080,ott19017,Capra hircus,schibler1998,2737.0,3168.72,c_value,sex_averaged,284.0,40.0,30.0,True,True,0.863756,91.233,9.6373,
RM0081,ott833644,Capsella bursa-pastoris,linde2001,1064.4,391.2,c_value,sex_averaged,114.0,17.0,16.0,True,True,2.720859,66.525,9.3368,
RM0082,ott19798,Capsella rubella,slotte2012,381.82633647,215.16,estimate_unspecified,sex_averaged,877.0,,8.0,,False,1.774616,47.728,0.4354,
RM0083,ott473836,Capsicum annuum,han2016,1372.0,3090.48,estimate_unspecified,sex_averaged,2578.0,12.0,12.0,True,True,0.443944,114.333,0.5322,
RM0084,ott232458,Capsicum baccatum,lee2016,1056.0,3628.38,estimate_unspecified,sex_averaged,395.0,12.0,12.0,True,True,0.291039,88.0,2.6734,
RM0085,ott1005907,Carassius auratus,kuang2016,5252.0,1643.04,estimate_unspecified,sex_averaged,8521.0,50.0,50.0,True,True,3.196514,105.04,0.6164,
RM0086,ott429474,Carica papaya,chen2007,1069.9,372.0,c_value,sex_averaged,707.0,12.0,18.0,True,True,2.876075,59.439,1.5133,
RM0087,ott1061541,Carthamus tinctorius,bowers2016,959.44,1369.2,estimate_unspecified,sex_averaged,57388.0,12.0,12.0,True,True,0.70073,79.953,0.0167,
RM0088,ott540978,Castanea mollissima,kubisiak2012,743.0,833.241,estimate_unspecified,sex_averaged,1393.0,12.0,12.0,True,True,0.891699,61.917,0.5334,
RM0089,ott524094,Catharanthus roseus,sharma2012,1790.4,2376.5,c_value,sex_averaged,564.0,8.0,6.0,True,True,0.753377,298.4,3.1745,
RM0090,ott780217,Ceratopteris richardii,nakazato2006,2178.8,11294.0,estimate_unspecified,sex_averaged,729.0,41.0,39.0,True,True,0.192917,55.867,2.9888,
RM0092,ott117198,Chenopodium quinoa,maughan2012,1404.0,1447.44,estimate_unspecified,sex_averaged,14689.0,20.0,18.0,True,True,0.969988,78.0,0.0956,
RM0093,ott324777,Chimonanthus praecox,chen2010a,1801.0,600.0,other_literature,sex_averaged,84.0,12.0,11.0,True,True,3.001667,163.727,21.4405,2.0417
RM0094,ott33153,Chlamydomonas reinhardtii,kathir2003,1000.0,120.405,estimate_unspecified,sex_averaged,264.0,17.0,17.0,True,True,8.305303,58.824,3.7879,
RM0095,ott56422,Chlamys farreri,zhan2009b,1561.8,1244.016,c_value,sex_averaged,154.0,19.0,19.0,True,True,1.25545,82.2,10.1416,
RM0097,ott3899190,Chrysanthemum morifolium,zhang2010,2873.0,8635.74,estimate_unspecified,sex_averaged,342.0,55.0,27.0,False,False,0.332687,106.407,8.4006,
RM0098,ott612429,Cicer arietinum,gaur2015,1083.93,929.1,estimate_unspecified,sex_averaged,6714.0,8.0,8.0,True,True,1.166645,135.491,0.1614,
RM0099,ott744224,Ciona intestinalis,kano2006,4218.9,150.0,other_literature,sex_averaged,276.0,14.0,14.0,True,True,28.126,301.35,15.2859,
RM0100,ott677382,Ciona savignyi,hill2008,650.0,170.0,other_literature,sex_averaged,110.0,14.0,14.0,True,True,3.823529,46.429,5.9091,
RM0101,ott1006251,Citrullus lanatus,reddy2014,799.3,440.1,estimate_unspecified,sex_averaged,922.0,,11.0,,False,1.816178,72.664,0.8669,
RM0102,ott1006251,Citrullus lanatus,reddy2014,1096.0,440.1,other_literature,sex_averaged,10480.0,11.0,11.0,True,True,2.490343,99.636,0.1046,
RM0103,ott236255,Citrus clementina,ollitrault2012,1084.08,469.44,estimate_unspecified,sex_averaged,517.0,,9.0,,False,2.309305,120.453,2.0969,
RM0104,ott236255,Citrus clementina,ollitrault2012,1084.1,301.365,estimate_unspecified,sex_averaged,961.0,9.0,9.0,True,True,3.597299,120.456,1.1281,
RM0105,ott3942433,Citrus sinensis,guo2015a,976.58,490.956,c_value,sex_averaged,1563.0,9.0,9.0,True,True,1.98914,108.509,0.6248,
RM0107,ott192116,Clunio marinus,kaiser2012,179.65,95.0,estimate_unspecified,sex_averaged,344.0,3.0,3.0,True,True,1.891053,59.883,0.5222,0.8704
RM0108,ott4930749,Cochliobus sativus,zhong2002,849.4,33.4,estimate_unspecified,sex_averaged,158.0,27.0,15.0,False,False,25.431138,56.627,5.3759,
RM0109,ott366250,Cocos nucifera,riedel2008,2739.0,3107.106,c_value,sex_averaged,704.0,16.0,16.0,True,True,0.881528,171.188,3.8906,
RM0110,ott1001050,Coffea arabica,moncada2015,3800.0,1173.6,estimate_unspecified,sex_averaged,848.0,22.0,22.0,True,True,3.2379,172.727,4.4811,
RM0111,ott5304351,Coprinus cinereus,muraguchi2003,1346.0,37.5,other_literature,sex_averaged,219.0,13.0,13.0,True,True,35.893333,103.538,6.1461,
RM0112,ott679189,Corchorus capsularis,biswas2015,2016.0,586.8,estimate_unspecified,sex_averaged,705.0,9.0,7.0,True,True,3.435583,288.0,2.8596,
RM0113,ott578269,Corchorus olitorius,kundu2015,358.5,909.54,estimate_unspecified,sex_averaged,503.0,7.0,7.0,True,True,0.394155,51.214,0.7127,
RM0114,ott629345,Coregonus clupeaformis,gagnaire2012,3061.0,2386.32,c_value,sex_averaged,3438.0,40.0,40.0,True,True,1.282728,76.525,0.8903,
RM0115,ott148264,Cornus florida,wang2008a,1175.0,1545.24,c_value,sex_averaged,255.0,11.0,7.0,True,True,0.7604,167.857,4.6078,
RM0116,ott803622,Coturnix japonica,kikuchi2005,2816.0,1320.3,c_value,sex_averaged,1735.0,21.0,32.0,True,True,2.132849,88.0,1.6231,
RM0117,ott987409,Crassostrea gigas,hedgecock2015,588.0,557.736,estimate_unspecified,sex_averaged,1166.0,10.0,10.0,True,True,1.054262,58.8,0.5043,
RM0118,ott365708,Crassostrea virginica,yu2003,905.0,675.0,other_literature,sex_averaged,84.0,12.0,10.0,True,True,1.340741,90.5,10.7738,1.5195
RM0119,ott35872,Crocodylus porosus,miles2009,1071.55,2049.54,assembly_or_direct,sex_averaged,180.0,14.0,17.0,True,True,0.522825,63.032,5.9531,5.7182
RM0120,ott48333,Cryptococcus neoformans,marra2004,1500.0,19.0519,assembly_or_direct,sex_averaged,301.0,20.0,14.0,True,True,78.732305,107.143,4.9834,
RM0121,ott620749,Cryptomeria japonica,moriguchi2016,1266.2,10758.0,c_value,sex_averaged,2560.0,11.0,11.0,True,True,0.117698,115.109,0.4946,
RM0122,ott1005936,Ctenopharyngodon idella,xia2010,1176.1,1004.54571428571,c_value,sex_averaged,263.0,24.0,24.0,True,True,1.170778,49.004,4.4719,1.2932
RM0123,ott1006256,Cucumis melo,diaz2011,1150.0,929.1,c_value,sex_averaged,1592.0,12.0,12.0,True,True,1.237757,95.833,0.7224,
RM0124,ott1006246,Cucumis sativus,zhu2016,707.8,195.669,estimate_unspecified,sex_averaged,508.0,,7.0,,False,3.617333,101.114,1.3933,
RM0125,ott1006246,Cucumis sativus,zhu2016,1061.19,195.669,estimate_unspecified,sex_averaged,7532.0,7.0,7.0,True,True,5.423394,151.599,0.1409,
RM0126,ott379272,Cucurbita maxima,zhang2015a,2533.8,449.88,estimate_unspecified,sex_averaged,458.0,20.0,20.0,True,True,5.632169,126.69,5.5323,
RM0127,ott84409,Cucurbita moschata,gong2008,1936.0,420.54,estimate_unspecified,sex_averaged,659.0,20.0,20.0,True,True,4.603605,96.8,2.9378,
RM0128,ott379282,Cucurbita pepo,monteropau2017,2817.6,537.9,c_value,sex_averaged,7718.0,21.0,20.0,True,True,5.238148,140.88,0.3651,
RM0129,ott218684,Culex pipiens,hickner2013,189.9,684.6,c_value,sex_averaged,61.0,3.0,3.0,True,True,0.277388,63.3,3.1131,
RM0131,ott746120,Cyanistes caeruleus,hansson2009,935.0,1437.66,c_value,sex_averaged,98.0,18.0,39.0,True,True,0.650362,23.974,9.5408,
RM0132,ott991885,Cynara cardunculus,portis2009,1251.15,1075.8,c_value,sex_averaged,177.0,17.0,17.0,True,True,1.162995,73.597,7.0686,1.4641
RM0133,ott927435,Cynodon dactylon,harrisshultz2010,311.1,1110.03,estimate_unspecified,sex_averaged,36.0,8.0,9.0,False,False,0.280263,34.567,8.6417,
RM0134,ott927435,Cynodon dactylon,harrisshultz2010,1055.0,1110.03,estimate_unspecified,sex_averaged,125.0,26.0,18.0,True,True,0.950425,58.611,8.44,
RM0135,ott906506,Cynoglossus semilaevis,song2012,1620.4,606.36,estimate_unspecified,sex_averaged,352.0,,21.0,,False,2.67234,77.162,4.6034,0.9665
RM0136,ott906506,Cynoglossus semilaevis,song2012,1624.0,606.36,estimate_unspecified,sex_averaged,1007.0,21.0,21.0,True,True,2.678277,77.333,1.6127,
RM0137,ott429083,Cyprinus carpio,zhao2013a,3565.9,1741.9158,c_value,sex_averaged,1209.0,50.0,50.0,True,True,2.047114,71.318,2.9495,
RM0138,ott83469,Dactylis glomerata,zhao2016b,715.77,4303.2,estimate_unspecified,sex_averaged,2510.0,7.0,7.0,True,True,0.166334,102.253,0.2852,
RM0139,ott1005914,Danio rerio,bradley2011,2177.363,1817.124,c_value,sex_averaged,1706.0,,25.0,,False,1.198247,87.095,1.2763,
RM0140,ott1005914,Danio rerio,bradley2011,2177.363,1817.124,c_value,sex_averaged,3966.0,25.0,25.0,True,True,1.198247,87.095,0.549,
RM0141,ott668392,Daphnia magna,dukic2016,1614.5,129.543,assembly_or_direct,sex_averaged,4037.0,10.0,10.0,True,True,12.463043,161.45,0.3999,
RM0142,ott59086,Daphnia pulex,cristescu2006,1206.0,197.206,assembly_or_direct,sex_averaged,115.0,12.0,12.0,True,True,6.115433,100.5,10.487,
RM0143,ott372836,Daucus carota,cavagnaro2014,635.1,421.539,c_value,sex_averaged,894.0,9.0,9.0,True,True,1.506622,70.567,0.7104,
RM0147,ott842200,Dianthus caryophyllus,yagi2013,978.3,616.14,estimate_unspecified,sex_averaged,348.0,15.0,15.0,True,True,1.587788,65.22,2.8112,
RM0148,ott3549,Dicentrarchus labrax,chistiakov2008,1373.1,762.84,c_value,sex_averaged,368.0,35.0,24.0,True,True,1.799984,57.212,3.7312,1.3155
RM0150,ott505714,Drosophila melanogaster,comeron2012,105.46085,168.038181818182,c_value,sex_averaged,969.0,,4.0,,False,0.627601,26.365,0.1088,
RM0151,ott1082272,Drosophila pseudoobscura,mcgaugh2012,53.520111655,159.74,c_value,sex_averaged,141.0,,4.0,,False,0.335045,13.38,0.3796,
RM0152,ott86632,Drosophila serrata,stocker2012,245.3,205.38,c_value,sex_averaged,58.0,4.0,4.0,True,True,1.194371,61.325,4.2293,
RM0153,ott878345,Ectocarpus siliculosus,heesch2010,2459.3,195.811,estimate_unspecified,sex_averaged,406.0,34.0,34.0,True,True,12.55956,72.332,6.0574,
RM0154,ott775254,Eimeria maxima,blake2011,2883.9,45.9751,estimate_unspecified,sex_averaged,647.0,13.0,14.0,True,True,62.727433,205.993,4.4573,
RM0155,ott775246,Eimeria tenella,shirley2000,653.0,51.8944,estimate_unspecified,sex_averaged,443.0,16.0,12.0,True,True,12.583246,54.417,1.474,
RM0156,ott947656,Elaeis guineensis,ting2016,1499.5,1535.18,c_value,sex_averaged,1755.0,16.0,16.0,True,True,0.976758,93.719,0.8544,
RM0157,ott210313,Elaeis oleifera,montoya2013,1485.0,1402.73,estimate_unspecified,sex_averaged,362.0,16.0,16.0,True,True,1.05865,92.812,4.1022,
RM0158,ott173152,Elymus lanceolatus,mott2011,2574.0,8244.54,c_value,sex_averaged,515.0,14.0,14.0,True,True,0.312207,183.857,4.9981,
RM0159,ott306171,Epinephelus aeneus,dor2014,969.5,1075.8,c_value,sex_averaged,222.0,24.0,24.0,True,True,0.90119,40.396,4.3671,1.1885
RM0162,ott1068218,Equus caballus,swinburne2006,2692.1,3149.16,c_value,sex_averaged,409.0,,32.0,,False,0.854863,84.128,6.5822,
RM0163,ott1068218,Equus caballus,swinburne2006,2772.0,3149.16,c_value,sex_averaged,742.0,32.0,32.0,True,True,0.880235,86.625,3.7358,
RM0164,ott1094963,Eragrostis tef,zeid2011,1277.4,665.04,estimate_unspecified,sex_averaged,,30.0,20.0,,False,1.920787,63.87,,
RM0165,ott843929,Eremochloa ophiuroides,zheng2013,623.6,811.74,estimate_unspecified,sex_averaged,89.0,10.0,9.0,True,True,0.768226,69.289,7.0067,
RM0166,ott207983,Eriobotrya japonica,fukuda2016,1036.0,762.84,estimate_unspecified,sex_averaged,308.0,19.0,17.0,True,True,1.358083,60.941,3.3636,
RM0167,ott566723,Eriocheir sinensis,cui2015,5125.53,1680.0,estimate_unspecified,sex_averaged,10358.0,73.0,73.0,True,True,3.050911,70.213,0.4948,0.9876
RM0168,ott739941,Esox lucius,rondeau2014,1289.3,1095.36,c_value,sex_averaged,180.0,25.0,25.0,True,True,1.177056,51.572,7.1628,1.0736
RM0169,ott505234,Eucalyptus camaldulensis,agrama2002,1236.0,606.36,estimate_unspecified,sex_averaged,168.0,11.0,11.0,True,True,2.038393,112.364,7.3571,
RM0170,ott847929,Eucalyptus globulus,gion2016,1520.0,552.4722,c_value,sex_averaged,,11.0,11.0,,False,2.75127,138.182,,1.0922
RM0171,ott40959,Eucalyptus grandis,hudson2012,1107.0,591.5922,c_value,sex_averaged,4101.0,11.0,11.0,True,True,1.871221,100.636,0.2699,
RM0172,ott173799,Eucalyptus tereticornis,li2015a,1241.4,586.8,estimate_unspecified,sex_averaged,585.0,11.0,11.0,True,True,2.115542,112.855,2.1221,
RM0173,ott1049231,Eucalyptus urophylla,li2015b,1208.5,595.602,c_value,sex_averaged,700.0,11.0,11.0,True,True,2.02904,109.864,1.7264,
RM0174,ott743836,Eucommia ulmoides,li2014a,2133.0,723.72,estimate_unspecified,sex_averaged,706.0,25.0,17.0,True,True,2.947272,125.471,3.0212,
RM0175,ott904381,Fagopyrum esculentum,yabe2014,1574.3,1359.4,c_value,sex_averaged,8884.0,8.0,8.0,True,True,1.158084,196.788,0.1772,
RM0176,ott563163,Felis silvestris,li2016,4464.0,2894.88,c_value,sex_averaged,6637.0,19.0,19.0,True,True,1.542033,234.947,0.6726,
RM0177,ott475468,Fenneropenaeus chinensis,wang2012,1895.795,1660.0,estimate_unspecified,sex_averaged,236.0,39.0,44.0,True,True,1.142045,43.086,8.033,0.8259
RM0178,ott105576,Festuca arundinacea,dierking2015,1417.5,4185.84,estimate_unspecified,sex_averaged,594.0,22.0,21.0,True,True,0.338642,67.5,2.3864,0.7977
RM0179,ott107840,Ficedula albicollis,backstrom2008,1787.0,1118.34,estimate_unspecified,sex_averaged,211.0,33.0,30.0,True,True,1.597904,59.567,8.4692,
RM0180,ott107840,Ficedula albicollis,backstrom2008,3132.061,1118.34,estimate_unspecified,sex_averaged,3996.0,,30.0,,False,2.800634,104.402,0.7838,
RM0181,ott555467,Fragaria iinumae,mahoney2016,451.7,199.628,estimate_unspecified,sex_averaged,4173.0,7.0,7.0,True,True,2.262709,64.529,0.1082,
RM0182,ott852873,Fragaria vesca,davik2015,416.2,214.373,estimate_unspecified,sex_averaged,151.0,7.0,7.0,True,True,1.941476,59.457,2.7563,
RM0183,ott3904118,Fragaria xananassa,sargent2016,1820.0,697.762,estimate_unspecified,sex_averaged,8407.0,28.0,28.0,True,True,2.608339,65.0,0.2165,
RM0184,ott955281,Fusarium circinatum,devos2007,2774.4,43.9486,estimate_unspecified,sex_averaged,582.0,12.0,11.0,True,True,63.128291,252.218,4.767,
RM0185,ott264388,Fusarium graminearum,lee2008,1140.0,36.458,estimate_unspecified,sex_averaged,115.0,6.0,4.0,True,True,31.268857,285.0,9.913,
RM0186,ott404217,Fusarium oxysporum,teunissen2003,86.0,61.3869,c_value,sex_averaged,83.0,23.0,15.0,True,True,1.40095,5.733,1.0361,
RM0187,ott584890,Fusarium verticillioides,jurgenson2002,2188.0,41.8449,estimate_unspecified,sex_averaged,636.0,12.0,11.0,True,True,52.288331,198.909,3.4403,
